SKU,HGT1,WID1,DPTH1,product_volume,pick_count,total_quantity_picked,movement_frequency,movement_category,cluster,storage_priority_score,storage_priority,main_storage_location,location_pick_count,recommended_zone,relocation_recommended,space_percentage
128047,12,6,17,1224,474,11548,474,Medium Movement,0,0.6173962264150943,Medium Priority,383323,276,ZONE_B,True,0.013180443065331709
129119,34,11,18,6732,1011,3919,1011,High Movement,0,0.8321698113207547,High Priority,382022,652,ZONE_A,True,0.0724924368593244
129110,30,12,18,6480,2298,7019,2298,High Movement,1,0.930754716981132,High Priority,382823,1514,ZONE_A,True,0.0697788162282267
129124,30,12,17,6120,3441,10565,3441,High Movement,3,0.9577735849056604,High Priority,383222,2183,ZONE_A,True,0.06590221532665853
51360,11,8,8,704,14,180,14,Low Movement,0,0.1833018867924528,Low Priority,1532D3,14,ZONE_C,False,0.007580908429733271
51371,11,8,8,704,3,36,3,Low Movement,0,0.1459245283018868,Low Priority,1520D3,3,ZONE_C,False,0.007580908429733271
51373,11,8,8,704,10,104,10,Low Movement,0,0.1708867924528301,Low Priority,1532D4,10,ZONE_C,False,0.007580908429733271
21-3845,27,10,10,2700,272,3868,272,Medium Movement,0,0.578,Medium Priority,223123,272,ZONE_B,True,0.029074506761761123
21-4687,24,3,11,792,459,12765,459,Medium Movement,0,0.5526037735849056,Medium Priority,473123,261,ZONE_B,True,0.00852852198344993
21-0059,18,3,12,648,139,2139,139,Low Movement,0,0.3508679245283018,Low Priority,N21233,139,ZONE_C,False,0.00697788162282267
2172314644,4,9,16,576,1847,50707,1847,High Movement,1,0.7369622641509435,Medium Priority,483523,942,ZONE_B,True,0.00620256144250904
2172314685,4,8,16,512,1633,42274,1633,High Movement,1,0.7149056603773585,Medium Priority,483522,859,ZONE_B,True,0.0055133879488969235
2173116410,15,6,5,450,1483,33053,1483,High Movement,1,0.6941320754716981,Medium Priority,2114C2,792,ZONE_B,True,0.004845751126960187
2173116428,9,13,5,585,892,13973,892,High Movement,0,0.6433396226415093,Medium Priority,2114C3,485,ZONE_B,True,0.006299476465048243
2173116576,24,6,6,864,1987,39628,1987,High Movement,1,0.7887924528301886,Medium Priority,221722,1987,ZONE_B,True,0.00930384216376356
2173116592,25,6,6,900,1334,40626,1334,High Movement,1,0.7486226415094338,Medium Priority,221723,1331,ZONE_B,True,0.009691502253920374
2173116500,24,6,6,864,4083,121498,4083,High Movement,3,0.8400377358490566,High Priority,221622,4076,ZONE_A,True,0.00930384216376356
