SKU,pick_count,total_quantity_picked,movement_frequency
128047,474,11548,474
129110,2298,7019,2298
129119,1011,3919,1011
129124,3441,10565,3441
16-26016,301,3396,301
16-394342,336,4856,336
16-394373,394,5966,394
16-405806,166,2182,166
16-436844,3,29,3
16-441237,63,560,63
16-459332,245,3169,245
21-0059,139,2139,139
21-011402,656,15420,656
21-012528,75,7263,75
21-021575,209,2670,209
21-111937,212,5062,212
21-113616,3865,107675,3865
21-114420,503,8043,503
21-114427,820,8569,820
21-121212,867,12987,867
21-213653,493,7490,493
21-213656,246,3223,246
21-22217,191,3047,191
21-241672,4250,69252,4250
21-241730,147,2655,147
21-241736,3062,62109,3062
21-241741,4178,89396,4178
21-244941,4336,80521,4336
21-244947,2301,38114,2301
21-25905,1061,22387,1061
21-25999,796,15735,796
21-262433,275,5717,275
21-263978,222,4411,222
21-264430,39,310,39
21-266440,2257,49386,2257
21-28450,892,18425,892
21-28459,946,18752,946
21-28796,1,1,1
21-35418,608,12632,608
21-38444,342,6393,342
21-3845,272,3868,272
21-39147,157,4672,157
21-4687,459,12765,459
21-522670,26,7872,26
21-523509,1341,5234,1341
21-523547,3,18,3
21-523820,1,48,1
21-614607,581,19242,581
21-614608,754,28978,754
21-614609,10,197,10
21-624678,28,966,28
21-631080,242,3330,242
21-633532,572,9186,572
21-633701,2482,80801,2482
21-644382,1881,55769,1881
21-661921,346,5070,346
21-662624,47,9072,47
21-710692,869,16882,869
21-713803,314,4969,314
21-714633,1732,57450,1732
21-714636,1522,47739,1522
21-715109,5,48,5
21-715188,231,3613,231
21-715194,104,1624,104
21-715467,88,17388,88
21-715783,6,48,6
21-715920,511,7449,511
21-717398,10,183,10
21-720902,1,1,1
21-722354,8,30,8
21-722592,346,5384,346
21-723011,195,2466,195
21-724564,707,14142,707
21-726055,8,84,8
21-726058,635,12710,635
21-726062,995,18793,995
21-726162,1203,38125,1203
21-726167,1011,31607,1011
21-726628,61,1426,61
21-7275201,402,3701,402
21-7275281,801,7462,801
21-7275291,505,4661,505
21-729761,744,11960,744
21-732269,883,12996,883
21-733213,287,5480,287
21-733362,59,360,59
21-733363,41,406,41
21-734681,1,5,1
21-734682,172,2578,172
21-734716,2462,53618,2462
21-734866,6,60,6
21-735990,808,13190,808
21-735996,772,4580,772
21-735999,137,2061,137
21-738600,3900,133200,3900
21-738609,3496,105501,3496
21-738768,100,1248,100
21-740506,66,586,66
21-741133,455,6310,455
21-741271,75,13777,75
21-743602,529,8130,529
21-743690,172,2511,172
21-743699,3635,63962,3635
21-745474,31,391,31
21-748810,1337,39414,1337
21-748818,747,15235,747
21-748819,192,3812,192
21-749293,266,4588,266
21-749296,5,900,5
21-750182,1039,28262,1039
21-750193,795,9593,795
21-750194,859,20506,859
21-750196,595,8607,595
21-750197,1411,37870,1411
21-750214,736,11224,736
21-750215,2660,93048,2660
21-750217,2467,90322,2467
