SKU,UOM1,UOM2,UOM3,HGT1,WID1,DPTH1,product_volume,pick_count,total_quantity_picked,movement_frequency,movement_category,cluster
128047,UN,CJ,PT,12,6,17,1224,474,11548,474,Medium Movement,0
129119,EX,CJ,PT,34,11,18,6732,1011,3919,1011,High Movement,0
129110,EX,CJ,PT,30,12,18,6480,2298,7019,2298,High Movement,1
129124,EX,CJ,PT,30,12,17,6120,3441,10565,3441,High Movement,3
51360,UN,CJ,PT,11,8,8,704,14,180,14,Low Movement,0
51371,UN,CJ,PT,11,8,8,704,3,36,3,Low Movement,0
51373,UN,CJ,PT,11,8,8,704,10,104,10,Low Movement,0
21-3845,UN,CJ,PT,27,10,10,2700,272,3868,272,Medium Movement,0
21-4687,UN,CJ,PT,24,3,11,792,459,12765,459,Medium Movement,0
21-0059,UN,CJ,PT,18,3,12,648,139,2139,139,Low Movement,0
2172314644,UN,CJ,PT,4,9,16,576,1847,50707,1847,High Movement,1
2172314685,UN,CJ,PT,4,8,16,512,1633,42274,1633,High Movement,1
2173116410,UN,CJ,PT,15,6,5,450,1483,33053,1483,High Movement,1
2173116428,UN,CJ,PT,9,13,5,585,892,13973,892,High Movement,0
2173116576,UN,CJ,PT,24,6,6,864,1987,39628,1987,High Movement,1
2173116592,UN,CJ,PT,25,6,6,900,1334,40626,1334,High Movement,1
2173116500,UN,CJ,PT,24,6,6,864,4083,121498,4083,High Movement,3
2174227323,UN,CJ,PT,17,9,2,306,691,20032,691,High Movement,0
2174227661,UN,CJ,PT,9,10,4,360,893,24210,893,High Movement,0
2175119180,UN,CJ,PT,19,6,6,684,994,18621,994,High Movement,0
2175119388,UN,CJ,PT,19,6,6,684,2069,32713,2069,High Movement,1
2176487412,UN,CJ,PT,21,8,8,1344,1181,28989,1181,High Movement,1
2544321616,UN,CJ,PT,10,6,9,540,425,8892,425,Medium Movement,0
2544321624,UN,CJ,PT,10,6,9,540,444,8017,444,Medium Movement,0
2544325618,UN,CJ,PT,10,6,9,540,387,12167,387,Medium Movement,0
2544325634,UN,CJ,PT,10,6,9,540,425,8194,425,Medium Movement,0
2544825617,UN,CJ,PT,19,6,6,684,179,2877,179,Medium Movement,0
2572370211,UN,CJ,PT,13,8,8,832,717,14869,717,High Movement,0
2572370253,UN,CJ,PT,19,5,8,760,373,5507,373,Medium Movement,0
2572370260,UN,CJ,PT,13,8,8,832,772,12142,772,High Movement,0
2573524487,UN,CJ,PT,27,13,13,4563,1553,30292,1553,High Movement,1
2952391318,UN,CJ,PT,9,16,9,1296,312,3118,312,Medium Movement,0
2953485251,EX,CJ,PT,21,9,2,378,2023,10743,2023,High Movement,1
2953091940,UN,CJ,PT,7,11,2,154,1468,29417,1468,High Movement,1
2954491249,UN,CJ,PT,21,6,6,756,387,4838,387,Medium Movement,0
2954776210,UN,CJ,PT,11,2,20,440,1607,42577,1607,High Movement,1
2954776222,UN,CJ,PT,22,12,2,528,718,19412,718,High Movement,0
2954788157,UN,CJ,PT,14,5,5,350,669,13391,669,High Movement,0
2954788198,UN,CJ,PT,24,3,28,2016,1535,33178,1535,High Movement,1
2954793230,UN,CJ,PT,31,19,4,2356,4073,164858,4073,High Movement,3
2954793248,UN,CJ,PT,2,23,9,414,914,17673,914,High Movement,0
2954793256,UN,CJ,PT,2,10,25,500,792,15550,792,High Movement,0
2954793304,UN,CJ,PT,15,16,12,2880,2650,175793,2650,High Movement,1
2954793487,UN,CJ,PT,2,23,9,414,815,16722,815,High Movement,0
3575421127,UN,CJ,PT,33,5,4,660,1454,106829,1454,High Movement,1
3575423123,UN,CJ,PT,34,4,4,544,4316,273178,4316,High Movement,3
3575423214,UN,CJ,PT,33,5,5,825,1809,65850,1809,High Movement,1
3575423313,UN,CJ,PT,34,6,6,1224,671,11337,671,High Movement,0
3575423412,UN,CJ,PT,48,5,5,1200,351,12224,351,Medium Movement,0
3575524517,UN,CJ,PT,34,6,6,1224,17,591,17,Low Movement,0
3575625140,UN,CJ,PT,33,6,6,1188,748,24353,748,High Movement,0
3575721120,UN,CJ,PT,40,6,6,1440,77,1552,77,Low Movement,0
