SKU,main_storage_location,location_pick_count
128047,383323,276
129110,382823,1514
129119,382022,652
129124,383222,2183
16-26016,N33222,299
16-394342,N33223,336
16-394373,N320C3,394
16-405806,N32833,165
16-436844,N320C5,3
16-441237,N41222,63
16-459332,N320C4,245
21-0059,N21233,139
21-011402,481023,398
21-012528,781723,56
21-021575,223723,209
21-111937,N21322,213
21-113616,221623,3856
21-114420,482123,278
21-114427,N222C5,533
21-121212,471722,485
21-213653,222522,492
21-213656,222622,246
21-22217,N21323,191
21-241672,223922,4241
21-241730,471522,134
21-241736,221022,3052
21-241741,221922,4178
21-244941,221923,4327
21-244947,222222,2301
21-25905,481423,588
21-25999,481422,451
21-262433,222922,275
21-263978,222923,222
21-264430,483322,39
21-266440,473322,1147
21-28450,481623,616
21-28459,481822,501
21-28796,481832,1
21-35418,481022,333
21-38444,481823,179
21-3845,223123,272
21-39147,481223,104
21-4687,473123,261
21-522670,722522,4
21-523509,223623,1338
21-523547,2120D5,2
21-523820,576242,1
21-614607,472022,330
21-614608,474222,413
21-614609,215223,5
21-624678,2117C5,22
21-631080,2114A4,147
21-633532,474223,307
21-633701,464323,1246
21-644382,481923,984
21-661921,221522,346
21-662624,782122,28
21-710692,221822,869
21-713803,471623,207
21-714633,473323,893
21-714636,473422,801
21-715109,213532,4
21-715188,N222A5,151
21-715194,N210A2,86
21-715467,781322,64
21-715783,2128D2,3
21-715920,474322,269
21-717398,481333,5
21-720902,223632,1
21-722354,N21432,8
21-722592,2114A3,201
21-723011,223522,195
21-724564,223223,706
21-726055,2120D4,8
21-726058,482923,630
21-726062,2154A5,691
21-726162,473923,680
21-726167,473022,600
21-726628,473623,49
21-7275201,471322,246
21-7275281,472123,425
21-7275291,483723,406
21-729761,471622,435
21-732269,463933,455
21-733213,781523,102
21-733362,472223,43
21-733363,472322,36
21-734681,471822,1
21-734682,471222,93
21-734716,222122,2460
21-734866,223923,6
21-735990,482523,447
21-735996,482522,435
21-735999,482922,137
21-738600,221222,3888
21-738609,221223,3483
21-738768,481032,56
21-740506,N21923,66
21-741133,222523,454
21-741271,781522,36
21-743602,471022,283
21-743690,N222A3,171
21-743699,221023,3634
21-745474,N21333,31
21-748810,221322,1337
21-748818,221323,746
21-748819,221523,192
21-749293,222822,266
21-749296,493323,4
21-750182,482822,597
21-750193,N222C3,454
21-750194,2119C4,468
21-750196,471923,232
21-750197,482422,720
21-750214,N21422,734
21-750215,482823,1334
21-750217,482423,1260
21-750218,N21532,716
21-752114,N21232,614
21-752132,222422,116
21-753007,N21822,307
21-753077,N21932,44
21-753079,N21823,391
21-753419,222323,158
21-753937,472222,459
21-754910,484123,196
21-754919,471823,289
21-755172,222823,177
21-755225,223822,22
21-755322,222023,1155
21-755324,223323,1224
21-755329,223122,1242
21-755458,223823,68
21-755509,782323,38
21-756028,483923,86
21-757707,223423,533
21-757756,464122,247
21-757784,2114A2,454
21-757856,473523,120
21-757879,483823,30
21-757895,483622,1231
21-757896,484223,609
21-757957,214923,551
21-757958,483223,270
21-757961,483222,165
21-758703,483023,306
21-758707,482022,158
21-758709,483423,149
21-758791,215123,814
21-758812,483022,314
21-758869,483422,229
21-759434,222322,250
21-759437,222223,405
21-762949,223322,638
21-762951,223422,672
21-764441,4625D2,3
21-764476,222722,230
21-764923,472623,474
21-765334,2113A4,53
21-766781,2114A5,236
21-766820,473722,563
21-766828,473723,234
21-766829,474323,513
21-766832,2121C2,519
21-767210,473622,450
21-767823,2154A3,575
21-770020,2113C6,445
21-771543,471223,7
21-771761,222224,1675
21-775097,472122,1
21-775220,472522,183
21-775226,N210A3,374
21-775229,N210C2,290
21-775231,N21523,662
21-775252,N210C5,248
21-775253,N210C4,353
21-775255,N21332,502
21-775262,N21222,545
21-775266,N210C3,502
21-775267,N222A2,324
21-775316,N21433,401
21-775488,2114A6,546
21-779205,482323,432
