SKU,UOM1,UOM2,UOM3,HGT1,WID1,DPTH1,product_volume,pick_count,total_quantity_picked,movement_frequency,movement_category,cluster,movement_score,space_requirement_score,storage_priority_score,storage_priority
128047,UN,CJ,PT,12,6,17,1224,474,11548,474,Medium Movement,0,0.5866037735849057,0.6892452830188679,0.6173962264150943,Medium Priority
129119,EX,CJ,PT,34,11,18,6732,1011,3919,1011,High Movement,0,0.7775471698113208,0.959622641509434,0.8321698113207547,High Priority
129110,EX,CJ,PT,30,12,18,6480,2298,7019,2298,High Movement,1,0.92,0.9558490566037736,0.9307547169811321,High Priority
129124,EX,CJ,PT,30,12,17,6120,3441,10565,3441,High Movement,3,0.960377358490566,0.9516981132075472,0.9577735849056603,High Priority
51360,UN,CJ,PT,11,8,8,704,14,180,14,Low Movement,0,0.07264150943396226,0.44150943396226416,0.18330188679245282,Low Priority
51371,UN,CJ,PT,11,8,8,704,3,36,3,Low Movement,0,0.019245283018867923,0.44150943396226416,0.1459245283018868,Low Priority
51373,UN,CJ,PT,11,8,8,704,10,104,10,Low Movement,0,0.054905660377358494,0.44150943396226416,0.17088679245283017,Low Priority
21-3845,UN,CJ,PT,27,10,10,2700,272,3868,272,Medium Movement,0,0.45867924528301884,0.8564150943396226,0.578,Medium Priority
21-4687,UN,CJ,PT,24,3,11,792,459,12765,459,Medium Movement,0,0.5783018867924529,0.4926415094339623,0.5526037735849056,Medium Priority
21-0059,UN,CJ,PT,18,3,12,648,139,2139,139,Low Movement,0,0.320188679245283,0.42245283018867924,0.35086792452830184,Low Priority
2172314644,UN,CJ,PT,4,9,16,576,1847,50707,1847,High Movement,1,0.8873584905660378,0.3860377358490566,0.7369622641509435,Medium Priority
2172314685,UN,CJ,PT,4,8,16,512,1633,42274,1633,High Movement,1,0.8711320754716981,0.35037735849056606,0.7149056603773585,Medium Priority
2173116410,UN,CJ,PT,15,6,5,450,1483,33053,1483,High Movement,1,0.8541509433962264,0.32075471698113206,0.6941320754716981,Medium Priority
2173116428,UN,CJ,PT,9,13,5,585,892,13973,892,High Movement,0,0.7515094339622641,0.3909433962264151,0.6433396226415093,Medium Priority
2173116576,UN,CJ,PT,24,6,6,864,1987,39628,1987,High Movement,1,0.9007547169811321,0.5275471698113208,0.7887924528301886,Medium Priority
2173116592,UN,CJ,PT,25,6,6,900,1334,40626,1334,High Movement,1,0.8324528301886792,0.5530188679245283,0.7486226415094338,Medium Priority
2173116500,UN,CJ,PT,24,6,6,864,4083,121498,4083,High Movement,3,0.9739622641509434,0.5275471698113208,0.8400377358490566,High Priority
2174227323,UN,CJ,PT,17,9,2,306,691,20032,691,High Movement,0,0.6856603773584906,0.24641509433962264,0.5538867924528301,Medium Priority
2174227661,UN,CJ,PT,9,10,4,360,893,24210,893,High Movement,0,0.7520754716981132,0.2749056603773585,0.6089245283018867,Medium Priority
2175119180,UN,CJ,PT,19,6,6,684,994,18621,994,High Movement,0,0.7722641509433962,0.4332075471698113,0.6705471698113207,Medium Priority
2175119388,UN,CJ,PT,19,6,6,684,2069,32713,2069,High Movement,1,0.9067924528301887,0.4332075471698113,0.7647169811320754,Medium Priority
2176487412,UN,CJ,PT,21,8,8,1344,1181,28989,1181,High Movement,1,0.809622641509434,0.7188679245283018,0.7823962264150943,Medium Priority
2544321616,UN,CJ,PT,10,6,9,540,425,8892,425,Medium Movement,0,0.5567924528301886,0.36471698113207546,0.49916981132075466,Medium Priority
2544321624,UN,CJ,PT,10,6,9,540,444,8017,444,Medium Movement,0,0.5686792452830188,0.36471698113207546,0.5074905660377358,Medium Priority
2544325618,UN,CJ,PT,10,6,9,540,387,12167,387,Medium Movement,0,0.5326415094339623,0.36471698113207546,0.4822641509433962,Medium Priority
2544325634,UN,CJ,PT,10,6,9,540,425,8194,425,Medium Movement,0,0.5567924528301886,0.36471698113207546,0.49916981132075466,Medium Priority
2544825617,UN,CJ,PT,19,6,6,684,179,2877,179,Medium Movement,0,0.37245283018867925,0.4332075471698113,0.3906792452830189,Low Priority
2572370211,UN,CJ,PT,13,8,8,832,717,14869,717,High Movement,0,0.6937735849056603,0.5143396226415095,0.6399433962264149,Medium Priority
2572370253,UN,CJ,PT,19,5,8,760,373,5507,373,Medium Movement,0,0.5233962264150943,0.4730188679245283,0.5082830188679245,Medium Priority
2572370260,UN,CJ,PT,13,8,8,832,772,12142,772,High Movement,0,0.7120754716981132,0.5143396226415095,0.6527547169811321,Medium Priority
2573524487,UN,CJ,PT,27,13,13,4563,1553,30292,1553,High Movement,1,0.8652830188679246,0.9241509433962264,0.882943396226415,High Priority
2952391318,UN,CJ,PT,9,16,9,1296,312,3118,312,Medium Movement,0,0.4862264150943396,0.7090566037735849,0.5530754716981132,Medium Priority
2953485251,EX,CJ,PT,21,9,2,378,2023,10743,2023,High Movement,1,0.9035849056603774,0.28226415094339624,0.717188679245283,Medium Priority
2953091940,UN,CJ,PT,7,11,2,154,1468,29417,1468,High Movement,1,0.8524528301886792,0.1877358490566038,0.6530377358490566,Medium Priority
2954491249,UN,CJ,PT,21,6,6,756,387,4838,387,Medium Movement,0,0.5326415094339623,0.46962264150943395,0.5137358490566037,Medium Priority
2954776210,UN,CJ,PT,11,2,20,440,1607,42577,1607,High Movement,1,0.869056603773585,0.3130188679245283,0.7022452830188679,Medium Priority
2954776222,UN,CJ,PT,22,12,2,528,718,19412,718,High Movement,0,0.6945283018867925,0.35415094339622644,0.5924150943396227,Medium Priority
2954788157,UN,CJ,PT,14,5,5,350,669,13391,669,High Movement,0,0.6784905660377358,0.2656603773584906,0.5546415094339623,Medium Priority
2954788198,UN,CJ,PT,24,3,28,2016,1535,33178,1535,High Movement,1,0.8618867924528302,0.8062264150943397,0.845188679245283,High Priority
2954793230,UN,CJ,PT,31,19,4,2356,4073,164858,4073,High Movement,3,0.9735849056603774,0.8369811320754716,0.9326037735849056,High Priority
2954793248,UN,CJ,PT,2,23,9,414,914,17673,914,High Movement,0,0.7547169811320755,0.2977358490566038,0.6176226415094339,Medium Priority
2954793256,UN,CJ,PT,2,10,25,500,792,15550,792,High Movement,0,0.7192452830188679,0.3439622641509434,0.6066603773584904,Medium Priority
2954793304,UN,CJ,PT,15,16,12,2880,2650,175793,2650,High Movement,1,0.9377358490566038,0.8645283018867924,0.9157735849056603,High Priority
2954793487,UN,CJ,PT,2,23,9,414,815,16722,815,High Movement,0,0.7269811320754717,0.2977358490566038,0.5982075471698112,Medium Priority
3575421127,UN,CJ,PT,33,5,4,660,1454,106829,1454,High Movement,1,0.850754716981132,0.42509433962264154,0.7230566037735848,Medium Priority
3575423123,UN,CJ,PT,34,4,4,544,4316,273178,4316,High Movement,3,0.9771698113207548,0.3713207547169811,0.7954150943396225,Medium Priority
3575423214,UN,CJ,PT,33,5,5,825,1809,65850,1809,High Movement,1,0.8835849056603774,0.5050943396226415,0.7700377358490565,Medium Priority
3575423313,UN,CJ,PT,34,6,6,1224,671,11337,671,High Movement,0,0.679622641509434,0.6892452830188679,0.6825094339622642,Medium Priority
3575423412,UN,CJ,PT,48,5,5,1200,351,12224,351,Medium Movement,0,0.510188679245283,0.6790566037735849,0.5608490566037735,Medium Priority
3575524517,UN,CJ,PT,34,6,6,1224,17,591,17,Low Movement,0,0.08037735849056604,0.6892452830188679,0.2630377358490566,Low Priority
3575625140,UN,CJ,PT,33,6,6,1188,748,24353,748,High Movement,0,0.7052830188679245,0.6711320754716981,0.6950377358490566,Medium Priority
3575721120,UN,CJ,PT,40,6,6,1440,77,1552,77,Low Movement,0,0.23358490566037735,0.7405660377358491,0.3856792452830189,Low Priority
3575821136,UN,CJ,PT,17,3,11,561,67,2460,67,Low Movement,0,0.21509433962264152,0.37622641509433963,0.26343396226415094,Low Priority
3575926125,UN,CJ,PT,6,9,9,486,109,4063,109,Low Movement,0,0.2809433962264151,0.34037735849056605,0.29877358490566036,Low Priority
