SKU,HGT1,WID1,DPTH1,product_volume,movement_frequency,movement_category,storage_priority_score,storage_priority,main_storage_location,location_pick_count,recommended_zone,relocation_recommended,recommendation_reason
128047,12,6,17,1224,474,Medium Movement,0.6173962264150943,Medium Priority,383323,276,ZONE_B,True,Moderate movement/space priority; place in a standard access zone.
129119,34,11,18,6732,1011,High Movement,0.8321698113207547,High Priority,382022,652,ZONE_A,True,High movement/space priority; place in an easily accessible zone.
129110,30,12,18,6480,2298,High Movement,0.930754716981132,High Priority,382823,1514,ZONE_A,True,High movement/space priority; place in an easily accessible zone.
129124,30,12,17,6120,3441,High Movement,0.9577735849056604,High Priority,383222,2183,ZONE_A,True,High movement/space priority; place in an easily accessible zone.
51360,11,8,8,704,14,Low Movement,0.1833018867924528,Low Priority,1532D3,14,ZONE_C,False,Lower movement priority; can use lower-access storage.
51371,11,8,8,704,3,Low Movement,0.1459245283018868,Low Priority,1520D3,3,ZONE_C,False,Lower movement priority; can use lower-access storage.
51373,11,8,8,704,10,Low Movement,0.1708867924528301,Low Priority,1532D4,10,ZONE_C,False,Lower movement priority; can use lower-access storage.
21-3845,27,10,10,2700,272,Medium Movement,0.578,Medium Priority,223123,272,ZONE_B,True,Moderate movement/space priority; place in a standard access zone.
21-4687,24,3,11,792,459,Medium Movement,0.5526037735849056,Medium Priority,473123,261,ZONE_B,True,Moderate movement/space priority; place in a standard access zone.
21-0059,18,3,12,648,139,Low Movement,0.3508679245283018,Low Priority,N21233,139,ZONE_C,False,Lower movement priority; can use lower-access storage.
2172314644,4,9,16,576,1847,High Movement,0.7369622641509435,Medium Priority,483523,942,ZONE_B,True,Moderate movement/space priority; place in a standard access zone.
2172314685,4,8,16,512,1633,High Movement,0.7149056603773585,Medium Priority,483522,859,ZONE_B,True,Moderate movement/space priority; place in a standard access zone.
2173116410,15,6,5,450,1483,High Movement,0.6941320754716981,Medium Priority,2114C2,792,ZONE_B,True,Moderate movement/space priority; place in a standard access zone.
2173116428,9,13,5,585,892,High Movement,0.6433396226415093,Medium Priority,2114C3,485,ZONE_B,True,Moderate movement/space priority; place in a standard access zone.
2173116576,24,6,6,864,1987,High Movement,0.7887924528301886,Medium Priority,221722,1987,ZONE_B,True,Moderate movement/space priority; place in a standard access zone.
2173116592,25,6,6,900,1334,High Movement,0.7486226415094338,Medium Priority,221723,1331,ZONE_B,True,Moderate movement/space priority; place in a standard access zone.
2173116500,24,6,6,864,4083,High Movement,0.8400377358490566,High Priority,221622,4076,ZONE_A,True,High movement/space priority; place in an easily accessible zone.
2174227323,17,9,2,306,691,High Movement,0.5538867924528301,Medium Priority,473822,469,ZONE_B,True,Moderate movement/space priority; place in a standard access zone.
2174227661,9,10,4,360,893,High Movement,0.6089245283018867,Medium Priority,473023,533,ZONE_B,True,Moderate movement/space priority; place in a standard access zone.
2175119180,19,6,6,684,994,High Movement,0.6705471698113207,Medium Priority,223222,992,ZONE_B,True,Moderate movement/space priority; place in a standard access zone.
2175119388,19,6,6,684,2069,High Movement,0.7647169811320754,Medium Priority,222022,2068,ZONE_B,True,Moderate movement/space priority; place in a standard access zone.
2176487412,21,8,8,1344,1181,High Movement,0.7823962264150943,Medium Priority,481723,646,ZONE_B,True,Moderate movement/space priority; place in a standard access zone.
2544321616,10,6,9,540,425,Medium Movement,0.4991698113207546,Medium Priority,2128A4,244,ZONE_B,True,Moderate movement/space priority; place in a standard access zone.
2544321624,10,6,9,540,444,Medium Movement,0.5074905660377358,Medium Priority,2110C4,287,ZONE_B,True,Moderate movement/space priority; place in a standard access zone.
2544325618,10,6,9,540,387,Medium Movement,0.4822641509433962,Medium Priority,463422,195,ZONE_B,True,Moderate movement/space priority; place in a standard access zone.
